cohort,panel,feature_family,n_unique_features,n_features_present_in_all_units,median_fraction_units_nonmissing,mean_nonmissing_features_per_unit,median_nonmissing_features_per_unit,n_units_observed
BLASST,AR,ATHENA,3038,567,0.96,1336.4813559322033,1335.0,2950
BLASST,AR,cell_features,1818,545,0.9983050847457627,1267.9949152542372,1282.0,2950
BLASST,AR,nearest_neighbor,50,50,1.0,3173.8745762711865,3083.0,2950
BLASST,AR,triads,17831,9362,1.0,11562.861016949151,11225.0,2950
BLASST,BT,ATHENA,548,152,0.95,394.86333333333334,411.0,1200
BLASST,BT,cell_features,324,110,0.9595833333333333,275.7,294.0,1200
BLASST,BT,nearest_neighbor,20,20,1.0,544.5383333333333,580.0,1200
BLASST,BT,triads,899,575,1.0,783.795,806.0,1200
NAC2020,AR,ATHENA,2887,590,1.0,1772.8922155688622,1867.0,835
NAC2020,AR,cell_features,1818,470,0.9940119760479041,1546.1077844311376,1601.0,835
NAC2020,AR,nearest_neighbor,50,50,1.0,4043.035928143712,4248.0,835
NAC2020,AR,triads,17879,9341,1.0,14183.071856287424,14453.0,835
NAC2020,BT,ATHENA,548,231,0.9927536231884058,468.55029585798815,491.0,338
NAC2020,BT,cell_features,324,144,0.9911242603550297,303.75147928994085,314.0,338
NAC2020,BT,nearest_neighbor,20,20,1.0,566.5147928994083,580.0,338
NAC2020,BT,triads,899,584,1.0,833.4260355029586,854.0,338
No-NAC,AR,ATHENA,3081,676,1.0,1867.069387755102,1957.0,1225
No-NAC,AR,cell_features,1818,741,1.0,1569.195918367347,1620.0,1225
No-NAC,AR,nearest_neighbor,50,50,1.0,4061.7714285714287,4248.0,1225
No-NAC,AR,triads,17879,9392,1.0,14344.510204081631,14612.0,1225
No-NAC,BT,ATHENA,548,286,0.9777777777777779,491.30204081632655,517.0,490
No-NAC,BT,cell_features,324,178,1.0,309.99183673469383,314.0,490
No-NAC,BT,nearest_neighbor,20,20,1.0,573.1714285714286,580.0,490
No-NAC,BT,triads,899,590,1.0,847.9632653061225,854.0,490
PURE01,AR,ATHENA,3016,515,0.9895833333333334,1699.642857142857,1739.0,980
PURE01,AR,cell_features,1818,574,0.9948979591836735,1477.7295918367347,1513.0,980
PURE01,AR,nearest_neighbor,50,50,1.0,3824.8367346938776,3882.5,980
PURE01,AR,triads,17879,9380,1.0,13413.117346938776,13043.0,980
PURE01,BT,ATHENA,548,164,0.95,448.63440860215053,442.0,372
PURE01,BT,cell_features,324,154,0.989247311827957,297.8602150537634,304.0,372
PURE01,BT,nearest_neighbor,20,20,1.0,564.5752688172042,580.0,372
PURE01,BT,triads,899,587,1.0,823.1612903225806,824.0,372
