cohort,panel,prep_root,feature_family,n_unique_features,n_features_present_in_all_units,median_fraction_units_nonmissing,n_source_files,n_units_observed,mean_nonmissing_features_per_unit,median_nonmissing_features_per_unit
BLASST,AR,AR_checkpoint_state,ATHENA,156,70,0.96,936,590,120.82542372881356,132.0
BLASST,AR,AR_checkpoint_state,cell_features,66,32,0.9983050847457627,66,590,57.44406779661017,60.0
BLASST,AR,AR_checkpoint_state,nearest_neighbor,10,10,1.0,60,590,132.51016949152543,150.0
BLASST,AR,AR_checkpoint_state,triads,97,61,1.0,97,590,79.74745762711865,85.0
BLASST,AR,AR_state,ATHENA,1842,163,0.24,10041,590,534.0525423728814,513.0
BLASST,AR,AR_state,cell_features,1152,239,0.7779661016949152,1152,590,707.4661016949152,715.0
BLASST,AR,AR_state,nearest_neighbor,10,10,1.0,60,590,1943.235593220339,1819.0
BLASST,AR,AR_state,triads,14857,7576,1.0,14857,590,9191.03220338983,8893.0
BLASST,AR,compartment,ATHENA,134,106,1.0,804,590,128.17796610169492,134.0
BLASST,AR,compartment,cell_features,42,33,1.0,42,590,41.0406779661017,42.0
BLASST,AR,compartment,nearest_neighbor,10,10,1.0,60,590,90.0,90.0
BLASST,AR,compartment,triads,40,37,1.0,40,590,39.55762711864407,40.0
BLASST,AR,compartment_state,ATHENA,656,113,0.77,3890,590,362.1593220338983,370.0
BLASST,AR,compartment_state,cell_features,336,110,0.8813559322033898,336,590,268.81694915254235,273.0
BLASST,AR,compartment_state,nearest_neighbor,10,10,1.0,60,590,799.5254237288135,837.0
BLASST,AR,compartment_state,triads,2203,1129,1.0,2203,590,1660.8847457627119,1627.0
BLASST,AR,phenotype_only,ATHENA,250,115,0.99,1500,590,191.26610169491525,186.0
BLASST,AR,phenotype_only,cell_features,222,131,1.0,222,590,193.2271186440678,192.0
BLASST,AR,phenotype_only,nearest_neighbor,10,10,1.0,60,590,208.60338983050846,187.0
BLASST,AR,phenotype_only,triads,634,559,1.0,634,590,591.6389830508475,580.0
BLASST,BT,compartment,ATHENA,134,71,1.0,804,600,117.49833333333333,134.0
BLASST,BT,compartment,cell_features,42,29,1.0,42,600,39.406666666666666,42.0
BLASST,BT,compartment,nearest_neighbor,10,10,1.0,60,600,87.46166666666667,90.0
BLASST,BT,compartment,triads,40,31,1.0,40,600,38.43,40.0
BLASST,BT,phenotype_only,ATHENA,414,81,0.9,2484,600,277.365,277.0
BLASST,BT,phenotype_only,cell_features,282,81,0.9191666666666667,282,600,236.29333333333332,252.0
BLASST,BT,phenotype_only,nearest_neighbor,10,10,1.0,60,600,457.07666666666665,490.0
BLASST,BT,phenotype_only,triads,859,544,1.0,859,600,745.365,766.0
NAC2020,AR,AR_checkpoint_state,ATHENA,156,86,1.0,312,167,141.9760479041916,156.0
NAC2020,AR,AR_checkpoint_state,cell_features,66,32,0.9940119760479041,66,167,62.868263473053894,66.0
NAC2020,AR,AR_checkpoint_state,nearest_neighbor,10,10,1.0,20,167,151.22155688622755,160.0
NAC2020,AR,AR_checkpoint_state,triads,97,61,1.0,97,167,89.34730538922156,97.0
NAC2020,AR,AR_state,ATHENA,1691,110,0.5970149253731343,3258,167,830.4610778443114,871.0
NAC2020,AR,AR_state,cell_features,1152,182,0.8802395209580839,1152,167,924.2215568862275,962.0
