cohort,panel,prep_root,n_unique_features,n_features_present_in_all_units,median_fraction_units_nonmissing,mean_nonmissing_features_per_unit,median_nonmissing_features_per_unit,n_units_observed
BLASST,AR,AR_checkpoint_state,329,173,0.9991525423728813,390.5271186440678,427.0,2360
BLASST,AR,AR_state,17861,7988,0.8889830508474577,12375.786440677966,11940.0,2360
BLASST,AR,compartment,226,186,1.0,298.7762711864407,306.0,2360
BLASST,AR,compartment_state,3205,1362,0.9406779661016949,3091.3864406779658,3107.0,2360
BLASST,AR,phenotype_only,1116,815,1.0,1184.735593220339,1145.0,2360
BLASST,BT,compartment,226,141,1.0,282.7966666666667,306.0,2400
BLASST,BT,phenotype_only,1565,716,0.9595833333333333,1716.1,1785.0,2400
NAC2020,AR,AR_checkpoint_state,329,189,1.0,445.4131736526946,479.0,668
NAC2020,AR,AR_state,17758,7863,0.9401197604790419,15986.173652694612,16376.0,668
NAC2020,AR,compartment,226,196,1.0,305.4251497005988,306.0,668
NAC2020,AR,compartment_state,3205,1331,0.9910179640718563,3480.7125748502995,3652.0,668
NAC2020,AR,phenotype_only,1116,872,1.0,1327.3832335329341,1356.0,668
NAC2020,BT,compartment,226,166,1.0,302.8165680473373,306.0,676
NAC2020,BT,phenotype_only,1565,813,0.9927536231884058,1869.4260355029587,1933.0,676
No-NAC,AR,AR_checkpoint_state,329,212,1.0,452.9020408163265,479.0,980
No-NAC,AR,AR_state,17948,8034,0.9387755102040816,16188.722448979592,16567.0,980
No-NAC,AR,compartment,226,226,1.0,305.9265306122449,306.0,980
No-NAC,AR,compartment_state,3209,1438,0.9918367346938776,3557.7673469387755,3729.0,980
No-NAC,AR,phenotype_only,1116,949,1.0,1337.2285714285713,1356.0,980
No-NAC,BT,compartment,226,197,1.0,305.0081632653061,306.0,980
No-NAC,BT,phenotype_only,1565,877,1.0,1917.4204081632654,1959.0,980
PURE01,AR,AR_checkpoint_state,329,163,0.9974489795918368,433.23979591836735,453.0,784
PURE01,AR,AR_state,17883,7968,0.8979591836734694,15024.41836734694,14652.5,784
PURE01,AR,compartment,226,186,1.0,304.9438775510204,306.0,784
PURE01,AR,compartment_state,3209,1358,0.9846938775510203,3332.234693877551,3410.0,784
PURE01,AR,phenotype_only,1116,844,1.0,1320.4897959183672,1356.0,784
PURE01,BT,compartment,226,162,1.0,299.93548387096774,306.0,744
PURE01,BT,phenotype_only,1565,763,0.989247311827957,1834.2956989247311,1844.0,744
