entity_id,branch,panel,cohort_label,sample_type,coord,qc_status,has_all_primary_inputs,n_parquet_cells,tissue_class,adjusted_area_percent
"TMA|AR|[35278,18358]",TMA,AR,NAC2020,TURBT,"[35278,18358]",Acceptable,True,7899.0,Epi,24.310455420141114
"TMA|AR|[35436,14789]",TMA,AR,NAC2020,TURBT,"[35436,14789]",Acceptable,True,4960.0,Epi,56.617227609811756
"TMA|AR|[35459,16494]",TMA,AR,NAC2020,TURBT,"[35459,16494]",Acceptable,True,6253.0,Epi,49.966564129998666
"TMA|AR|[35556,13057]",TMA,AR,NAC2020,TURBT,"[35556,13057]",Acceptable,True,4218.0,Epi,46.8454048285981
"TMA|AR|[35595,11300]",TMA,AR,NAC2020,TURBT,"[35595,11300]",Acceptable,True,5052.0,Epi,41.982893627273825
"TMA|AR|[35714,7930]",TMA,AR,NAC2020,TURBT,"[35714,7930]",Acceptable,True,6737.0,Epi,6.010998848957668
"TMA|AR|[36864,18477]",TMA,AR,NAC2020,TURBT,"[36864,18477]",Acceptable,True,8254.0,Epi,35.04651162790697
"TMA|AR|[37102,14908]",TMA,AR,NAC2020,TURBT,"[37102,14908]",Acceptable,True,3310.0,Epi,36.66212740202754
"TMA|AR|[37102,16653]",TMA,AR,NAC2020,TURBT,"[37102,16653]",Acceptable,True,8155.0,Epi,81.47302655292562
"TMA|AR|[37181,13124]",TMA,AR,NAC2020,TURBT,"[37181,13124]",Acceptable,True,4155.0,Epi,23.448662277629918
"TMA|AR|[37260,11380]",TMA,AR,NAC2020,TURBT,"[37260,11380]",Acceptable,True,5183.0,Epi,69.88683740321619
"TMA|AR|[37340,9635]",TMA,AR,NAC2020,TURBT,"[37340,9635]",Acceptable,True,8764.0,Epi,28.038548752834465
"TMA|AR|[37459,7890]",TMA,AR,NAC2020,TURBT,"[37459,7890]",Acceptable,True,4847.0,Epi,0.43943166837556763
"TMA|AR|[38608,18516]",TMA,AR,NAC2020,TURBT,"[38608,18516]",Acceptable,True,6367.0,Epi,84.04664723032069
"TMA|AR|[38807,14869]",TMA,AR,NAC2020,TURBT,"[38807,14869]",Acceptable,True,4315.0,Epi,61.27647791776271
"TMA|AR|[38807,16613]",TMA,AR,NAC2020,TURBT,"[38807,16613]",Acceptable,True,5220.0,Epi,68.30715963892666
"TMA|AR|[39084,11419]",TMA,AR,NAC2020,TURBT,"[39084,11419]",Acceptable,True,6605.0,Epi,2.9905487374806037
"TMA|AR|[39084,9754]",TMA,AR,NAC2020,TURBT,"[39084,9754]",Acceptable,True,6814.0,Epi,37.28239845261122
"TMA|AR|[39164,7970]",TMA,AR,NAC2020,TURBT,"[39164,7970]",Acceptable,True,7359.0,Epi,20.68251066422913
"TMA|AR|[40281,11144]",TMA,AR,NAC2020,TURBT,"[40281,11144]",Acceptable,True,9242.0,Epi,68.382728666326
"TMA|AR|[40313,18635]",TMA,AR,NAC2020,TURBT,"[40313,18635]",Acceptable,True,7012.0,Epi,79.86336655840519
"TMA|AR|[40512,15067]",TMA,AR,NAC2020,TURBT,"[40512,15067]",Acceptable,True,4438.0,Epi,76.79463581383118
"TMA|AR|[40591,13243]",TMA,AR,NAC2020,TURBT,"[40591,13243]",Acceptable,True,5300.0,Epi,75.01363884342608
"TMA|AR|[40599,8131]",TMA,AR,NAC2020,TURBT,"[40599,8131]",Acceptable,True,7645.0,Epi,19.933993399339933
"TMA|AR|[40631,11498]",TMA,AR,NAC2020,TURBT,"[40631,11498]",Acceptable,True,6712.0,Epi,39.948611281047356
"TMA|AR|[40638,6505]",TMA,AR,NAC2020,TURBT,"[40638,6505]",Acceptable,True,5718.0,Epi,18.22781348283878
"TMA|AR|[40750,9794]",TMA,AR,NAC2020,TURBT,"[40750,9794]",Acceptable,True,4339.0,Epi,17.37553164873655
"TMA|AR|[40829,8009]",TMA,AR,NAC2020,TURBT,"[40829,8009]",Acceptable,True,8123.0,Epi,76.69571807502842
"TMA|AR|[41979,16970]",TMA,AR,NAC2020,TURBT,"[41979,16970]",Acceptable,True,9948.0,Epi,0.12545620437956206
"TMA|AR|[42177,15186]",TMA,AR,NAC2020,TURBT,"[42177,15186]",Acceptable,True,5163.0,Epi,70.1818657595185
"TMA|AR|[42217,18754]",TMA,AR,NAC2020,TURBT,"[42217,18754]",Acceptable,True,8031.0,Epi,94.61491813220134
"TMA|AR|[42254,13340]",TMA,AR,NAC2020,TURBT,"[42254,13340]",Acceptable,True,6636.0,Epi,80.46957254158771
"TMA|AR|[42336,11578]",TMA,AR,NAC2020,TURBT,"[42336,11578]",Acceptable,True,13853.0,Epi,23.44289693593315
"TMA|AR|[42534,8049]",TMA,AR,NAC2020,TURBT,"[42534,8049]",Acceptable,True,8411.0,Epi,42.29142185663925
"TMA|AR|[43572,11382]",TMA,AR,NAC2020,TURBT,"[43572,11382]",Acceptable,True,4736.0,Epi,5.34045393858478
"TMA|AR|[43652,9717]",TMA,AR,NAC2020,TURBT,"[43652,9717]",Acceptable,True,9442.0,Epi,50.25
"TMA|AR|[43763,18876]",TMA,AR,NAC2020,TURBT,"[43763,18876]",Acceptable,True,8502.0,Epi,92.41109229466554
