panel,cohort_label,coord,n_parquet_cells,qc_status,structural_acceptability,sample_type,has_all_primary_inputs
AR,NAC2020,"[35278,18358]",7899.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[35436,14789]",4960.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[35459,16494]",6253.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[35556,13057]",4218.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[35595,11300]",5052.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[35635,9595]",4098.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[35714,7930]",6737.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[36864,18477]",8254.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[37102,14908]",3310.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[37102,16653]",8155.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[37181,13124]",4155.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[37260,11380]",5183.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[37340,9635]",8764.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[37459,7890]",4847.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[38608,18516]",6367.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[38807,14869]",4315.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[38807,16613]",5220.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[38846,13164]",2998.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[39084,11419]",6605.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[39084,9754]",6814.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[39164,7970]",7359.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[39806,17568]",7912.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[39845,15863]",9161.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[40281,11144]",9242.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[40313,18635]",7012.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[40512,15067]",4438.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[40559,9677]",2828.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[40591,13243]",5300.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[40599,8131]",7645.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[40631,11498]",6712.0,Acceptable,Acceptable,TURBT,True
