row_label,NAC2020,PURE01,No-NAC,BLASST
PD1- → stroma,0.34788952542943125,0.3704617309657761,0.37186425555153874,0.25671172586305885
PD1-;PanCK+ → tumor,0.2400936431094746,0.2642750709216471,0.2872847264420155,0.03455951435201484
ALL_NEG → stroma,0.0,0.0,0.0,0.4311723316616631
PD1-;PDL1+ → stroma,0.1149639726360255,0.08224403732818814,0.09139751863332539,0.00948401678164643
CD68+;PD1- → macrophage,0.08256504551316798,0.0802023535479927,0.06603696667153812,0.024077499488490823
CD3+;PD1- → t_cell,0.04980514382908731,0.06318354617787245,0.05408010214677445,0.03534979973416327
CD68+;PD1-;PDL1+ → macrophage,0.056307358740958116,0.031083740078133207,0.027159658177510787,0.008468993068643495
CD3+;PD1-;PDL1+ → t_cell,0.027001831741462777,0.02209555557678164,0.026439708020213986,0.012011212636512251
PD1-;PDL1+;PanCK+ → tumor,0.02627170520177193,0.01553828813769784,0.025400549192748194,0.001687462117970746
CD3+ → t_cell,0.0,0.0,0.0,0.056641165725716786
CD3+;PD1+ → t_cell,0.01674735051681277,0.01900079279416962,0.014222861494204247,0.002648003811372589
PD1+ → stroma,0.005221865011868937,0.02427693351035886,0.012934489150751101,0.007711574557015285
CD68+ → macrophage,0.0,0.0,0.0,0.041617896869682265
PanCK+ → tumor,0.0,0.0,0.0,0.03959910116511575
PDL1+ → stroma,0.0,0.0,0.0,0.03604696231650441
CD3+;CD8+;PD1-;PDL1+ → cd8_t_cell,0.00853839180576064,0.0032822156209106625,0.006436477474636371,0.0003559097150027789
CD3+;PD1+;PDL1+ → t_cell,0.006425113549279452,0.00370129808105604,0.004368928304963503,0.0006638515649219886
CD68+;PD1+ → macrophage,0.0018399188800209342,0.0093821936519156,0.0023690667569168287,0.0004402976257979469
CD3+;CD8+;PD1+;PDL1+ → cd8_t_cell,0.006985850731762023,0.00185064904052802,0.0034397618626402786,3.5087605014833024e-05
PD1+;PDL1+ → stroma,0.002497616866974449,0.0032189353633958334,0.002929797167888377,0.0003369594473154429
CD3+;CD8+;PD1+ → cd8_t_cell,0.003441524457486776,0.0023079384486068793,0.0013914421309293972,1.5249043529653172e-05
CD68+;PD1+;PDL1+ → macrophage,0.0017067437991813237,0.0028571633251506788,0.0011614580529040297,0.00027848010562405454
CD3+;CD8+;PD1- → cd8_t_cell,0.0016973981794732808,0.0010375574298186125,0.0010822327685006423,8.690474322239234e-05
