label,NAC2020,PURE01,No-NAC
stroma__checkpoint_neg,0.3470700100678846,0.37096344914647933,0.37551079664046344
tumor__checkpoint_neg,0.24079436198460968,0.26483314165439675,0.28787629974986734
stroma__PDL1,0.11536618250543136,0.08166377316934406,0.09001603292580666
macrophage__checkpoint_neg,0.08194080554852308,0.08022312893277564,0.06673140129040857
t_cell__checkpoint_neg,0.04987312110311044,0.06380222640578798,0.05419779442155726
macrophage__PDL1,0.056484954105754,0.031033674448587314,0.027045745007461142
t_cell__PDL1,0.02705140508810871,0.02149856301841827,0.025152891916184528
tumor__PDL1,0.026300140714878684,0.014451615108695387,0.023218786368601804
t_cell__PD1,0.016772742527097918,0.0192875403807696,0.014404247099040007
stroma__PD1,0.005232944944567758,0.024652108834567647,0.01313652738409448
cd8_t_cell__PDL1,0.008524142316319983,0.0033098190892686657,0.006227534269288101
t_cell__PD1_PDL1,0.006423428144153268,0.003571088467764975,0.004225203505506806
macrophage__PD1,0.001848722673935954,0.009519239925867866,0.002418028592712119
cd8_t_cell__PD1_PDL1,0.0069957079018175185,0.0018386527290441203,0.003386667999438332
stroma__PD1_PDL1,0.002510494739383092,0.0031388951967944445,0.0028480061180565968
cd8_t_cell__PD1,0.003431323485254376,0.00233677378711185,0.0013914770838638637
macrophage__PD1_PDL1,0.0017027089086059806,0.0028300113053946023,0.001133649231950662
cd8_t_cell__checkpoint_neg,0.001676803240563566,0.0010462983989314816,0.0010789103956983209
