row_label,NAC2020,PURE01,No-NAC,BLASST
ALL_NEG → stroma,0.4587503910770974,0.43908572157828,0.39193330681603294,0.7425532416428504
PanCK+ → tumour,0.364852506503366,0.3822192391726922,0.44023744938347276,0.07672621312254406
CD3+ → t_cell,0.03752699252413739,0.061181925713401156,0.05413849203502892,0.07181307425422266
CD3+;CD8+ → cd8_t_cell,0.05137495050003173,0.04773929617624781,0.04903690034494226,0.01567679468247777
CD79a+ → plasma_cell,0.022090659875599196,0.022316939296648915,0.02070224114659068,0.011957022922473876
CD3+;FoxP3+ → treg_cell,0.018756385769388127,0.020588162308880335,0.02085140096114346,0.009468069333813882
CD8+ → cd8_t_cell,0.01676544781882902,0.00302388264641134,0.004842395946765433,0.027136379367812838
CD20+;CD79a+ → b_cell,0.010361628718514192,0.01563461949772116,0.011636910777978468,0.005782444131275229
CD20+ → b_cell,0.013223328541955189,0.0030297909751460243,0.0016929231411263767,0.02198950180613259
FoxP3+ → treg_cell,0.0038331025158017027,0.0032543074670640213,0.0022634798088146113,0.01570190892474253
CD3+;CD8+;FoxP3+ → treg_cell,0.002464606155280033,0.001926115167507028,0.0026644996381040564,0.0011953498116541981
