prep_root,panel,label,label_base,excluded_from_primary,n_cells,n_units_present,median_fraction_when_present,mean_fraction_when_present,max_fraction_when_present,n_units_total,fraction_units_present
compartment_state,AR,stroma__checkpoint_neg,stroma,False,1071935,481,0.3739890003235199,0.37184772928441784,0.7797253870873503,481,1.0
compartment_state,AR,tumor__checkpoint_neg,tumor,False,784287,481,0.263969490963356,0.2856939339970742,0.7839599757428745,481,1.0
compartment_state,AR,immune__checkpoint_neg,immune,False,385985,481,0.1092054964355822,0.13103451255867613,0.4468269064499395,481,1.0
compartment_state,AR,stroma__PDL1,stroma,False,278330,480,0.03803850153803865,0.0850244462708963,0.7169255928045789,481,0.997920997920998
compartment_state,AR,immune__PDL1,immune,False,197568,471,0.03689708824183152,0.06074400716267166,0.4640201805629315,481,0.9792099792099792
compartment_state,AR,immune__PD1,immune,False,67196,475,0.009911003236245955,0.021618722312753157,0.32347461574289704,481,0.9875259875259875
compartment_state,AR,tumor__PDL1,tumor,False,63440,442,0.0044064703102311585,0.021542991842458385,0.3011799747966548,481,0.918918918918919
compartment_state,AR,stroma__PD1,stroma,False,41195,417,0.0019504040122596824,0.016883121110374464,0.6728691476590636,481,0.8669438669438669
compartment_state,AR,immune__PD1_PDL1,immune,False,30615,413,0.004000889086463659,0.010351069334930758,0.0977100818568024,481,0.8586278586278586
compartment_state,AR,stroma__PD1_PDL1,stroma,False,8293,304,0.000925621295372885,0.0038373329143209928,0.07807363576594346,481,0.632016632016632
