label,NAC2020,PURE01,No-NAC
stroma__checkpoint_neg,0.3470700100678846,0.37096344914647933,0.37551079664046344
tumor__checkpoint_neg,0.24079436198460968,0.26483314165439675,0.28787629974986734
immune__checkpoint_neg,0.1334907298921971,0.1450716537374951,0.12200810610766415
stroma__PDL1,0.11536618250543136,0.08166377316934406,0.09001603292580666
immune__PDL1,0.09206050151018269,0.05584205655627425,0.05842617119293377
immune__PD1,0.02205278868628825,0.031143554093749314,0.01821375277561599
tumor__PDL1,0.026300140714878684,0.014451615108695387,0.023218786368601804
stroma__PD1,0.005232944944567758,0.024652108834567647,0.01313652738409448
immune__PD1_PDL1,0.015121844954576765,0.008239752502203697,0.008745520736895801
stroma__PD1_PDL1,0.002510494739383092,0.0031388951967944445,0.0028480061180565968
