panel,cohort,sample_type,marker_combo,collapse_label,state,excluded_from_primary,n_cells,total_cells_panel_cohort,cell_fraction_within_panel_cohort
AR,BLASST,TURBT,ALL_NEG,stroma,None,False,2192938,6754522,0.3246622040760249
AR,BLASST,TURBT,PD1-,stroma,None,False,1310042,6754522,0.1939503639191641
AR,BLASST,RC,ALL_NEG,stroma,None,False,719425,6754522,0.10651012758563819
AR,BLASST,RC,PD1-,stroma,None,False,423923,6754522,0.06276136194389477
AR,BLASST,TURBT,CD3+,t_cell,None,False,321734,6754522,0.04763238612591683
AR,BLASST,TURBT,CD68+,macrophage,None,False,221691,6754522,0.03282112338963438
AR,BLASST,TURBT,CD3+;PD1-,t_cell,None,False,197790,6754522,0.02928260504592331
AR,BLASST,TURBT,PDL1+,stroma,PDL1,False,193424,6754522,0.028636223259025585
AR,BLASST,TURBT,PanCK+,tumor,None,False,181963,6754522,0.026939434056177478
AR,BLASST,TURBT,PD1-;PanCK+,tumor,None,False,160146,6754522,0.023709449758250845
AR,BLASST,TURBT,CD68+;PD1-,macrophage,None,False,126060,6754522,0.018663052692699793
AR,BLASST,RC,PanCK+,tumor,None,False,85510,6754522,0.012659667108938278
AR,BLASST,RC,PD1-;PanCK+,tumor,None,False,73287,6754522,0.010850064593764
AR,BLASST,TURBT,CD3+;PD1-;PDL1+,t_cell,PDL1,False,69892,6754522,0.010347438353150674
AR,BLASST,RC,CD3+,t_cell,None,False,60850,6754522,0.009008779599799956
AR,BLASST,RC,CD68+,macrophage,None,False,59418,6754522,0.008796773480047884
AR,BLASST,RC,PDL1+,stroma,PDL1,False,50056,6754522,0.007410739057478827
AR,BLASST,TURBT,PD1-;PDL1+,stroma,PDL1,False,47439,6754522,0.00702329491265259
AR,BLASST,TURBT,CD68+;PD1-;PDL1+,macrophage,PDL1,False,46137,6754522,0.00683053515852047
AR,BLASST,RC,CD3+;PD1-,t_cell,None,False,40981,6754522,0.006067194688239967
AR,BLASST,TURBT,PD1+,stroma,PD1,False,38221,6754522,0.0056585795412317855
AR,BLASST,RC,CD68+;PD1-,macrophage,None,False,36572,6754522,0.0054144467957910275
AR,BLASST,RC,PD1-;PDL1+,stroma,PDL1,False,16621,6754522,0.0024607218689938386
AR,BLASST,TURBT,CD3+;PD1+,t_cell,PD1,False,15331,6754522,0.0022697387024574055
AR,BLASST,RC,PD1+,stroma,PD1,False,13867,6754522,0.0020529950157835
AR,BLASST,RC,CD3+;PD1-;PDL1+,t_cell,PDL1,False,11238,6754522,0.0016637742833615762
AR,BLASST,RC,CD68+;PD1-;PDL1+,macrophage,PDL1,False,11067,6754522,0.0016384579101230258
AR,BLASST,TURBT,PD1-;PDL1+;PanCK+,tumor,PDL1,False,6993,6754522,0.0010353064213870352
AR,BLASST,RC,PD1-;PDL1+;PanCK+,tumor,PDL1,False,4405,6754522,0.0006521556965837109
AR,BLASST,TURBT,CD3+;PD1+;PDL1+,t_cell,PD1_PDL1,False,3823,6754522,0.0005659911981928551
AR,BLASST,RC,CD3+;PD1+,t_cell,PD1,False,2555,6754522,0.00037826510891518305
AR,BLASST,TURBT,CD68+;PD1+,macrophage,PD1,False,2101,6754522,0.0003110508782116632
AR,BLASST,TURBT,CD68+;PD1+;PDL1+,macrophage,PD1_PDL1,False,1220,6754522,0.00018061973889492105
AR,BLASST,TURBT,CD3+;CD8+;PD1-;PDL1+,cd8_t_cell,PDL1,False,1207,6754522,0.000178695102332926
AR,BLASST,RC,CD3+;CD8+;PD1-;PDL1+,cd8_t_cell,PDL1,False,1197,6754522,0.00017721461266985287
AR,BLASST,TURBT,PD1+;PDL1+,stroma,PD1_PDL1,False,1139,6754522,0.00016862777262402877
AR,BLASST,RC,PD1+;PDL1+,stroma,PD1_PDL1,False,1137,6754522,0.00016833167469141415
AR,BLASST,RC,CD68+;PD1+,macrophage,PD1,False,873,6754522,0.00012924674758628367
AR,BLASST,RC,CD3+;PD1+;PDL1+,t_cell,PD1_PDL1,False,661,6754522,9.786036672913346e-05
AR,BLASST,RC,CD68+;PD1+;PDL1+,macrophage,PD1_PDL1,False,661,6754522,9.786036672913346e-05
AR,BLASST,TURBT,CD3+;CD8+;PD1-,cd8_t_cell,None,False,537,6754522,7.950229490702674e-05
AR,BLASST,TURBT,CD3+;CD8+;PD1+;PDL1+,cd8_t_cell,PD1_PDL1,False,190,6754522,2.8129303598389346e-05
AR,BLASST,TURBT,CD3+;CD8+;PD1+,cd8_t_cell,PD1,False,85,6754522,1.2584162136121549e-05
AR,BLASST,RC,CD3+;CD8+;PD1-,cd8_t_cell,None,False,50,6754522,7.402448315365617e-06
AR,BLASST,RC,CD3+;CD8+;PD1+;PDL1+,cd8_t_cell,PD1_PDL1,False,47,6754522,6.95830141644368e-06
AR,BLASST,RC,CD3+;CD8+;PD1+,cd8_t_cell,PD1,False,18,6754522,2.6648813935316223e-06
AR,NAC2020,TURBT,PD1-,stroma,None,False,264192,856016,0.30862974523840675
AR,NAC2020,TURBT,PD1-;PanCK+,tumor,None,False,177952,856016,0.20788396478570495
AR,NAC2020,TURBT,PD1-;PDL1+,stroma,PDL1,False,86665,856016,0.10124226649969159
AR,NAC2020,TURBT,CD68+;PD1-,macrophage,None,False,60127,856016,0.07024050952318649
AR,NAC2020,TURBT,CD68+;PD1-;PDL1+,macrophage,PDL1,False,38639,856016,0.045138174987383414
AR,NAC2020,TURBT,CD3+;PD1-,t_cell,None,False,36685,856016,0.04285550737369395
AR,NAC2020,RC,PD1-,stroma,None,False,33607,856016,0.03925978019102447
AR,NAC2020,RC,PD1-;PanCK+,tumor,None,False,27572,856016,0.03220967832376965
AR,NAC2020,TURBT,PD1-;PDL1+;PanCK+,tumor,PDL1,False,20101,856016,0.023482037718921142
AR,NAC2020,TURBT,CD3+;PD1-;PDL1+,t_cell,PDL1,False,18567,856016,0.02169001513990393
AR,NAC2020,TURBT,CD3+;PD1+,t_cell,PD1,False,12389,856016,0.014472860320367844
AR,NAC2020,RC,PD1-;PDL1+,stroma,PDL1,False,11746,856016,0.013721706136333901
AR,NAC2020,RC,CD68+;PD1-,macrophage,None,False,10550,856016,0.012324535989981495
AR,NAC2020,RC,CD68+;PD1-;PDL1+,macrophage,PDL1,False,9561,856016,0.0111691837535747
AR,NAC2020,TURBT,CD3+;CD8+;PD1-;PDL1+,cd8_t_cell,PDL1,False,6430,856016,0.007511541840339433
AR,NAC2020,RC,CD3+;PD1-,t_cell,None,False,5949,856016,0.006949636455393357
AR,NAC2020,TURBT,CD3+;CD8+;PD1+;PDL1+,cd8_t_cell,PD1_PDL1,False,5276,856016,0.006163436197454253
AR,NAC2020,RC,CD3+;PD1-;PDL1+,t_cell,PDL1,False,4547,856016,0.005311816601558849
AR,NAC2020,TURBT,CD3+;PD1+;PDL1+,t_cell,PD1_PDL1,False,4528,856016,0.005289620754752248
AR,NAC2020,TURBT,PD1+,stroma,PD1,False,4044,856016,0.004724210762415656
AR,NAC2020,TURBT,CD3+;CD8+;PD1+,cd8_t_cell,PD1,False,2805,856016,0.003276807910132521
AR,NAC2020,RC,PD1-;PDL1+;PanCK+,tumor,PDL1,False,2388,856016,0.002789667482850788
AR,NAC2020,TURBT,PD1+;PDL1+,stroma,PD1_PDL1,False,2006,856016,0.0023434141417917422
AR,NAC2020,RC,CD3+;PD1+,t_cell,PD1,False,1947,856016,0.0022744901964449264
AR,NAC2020,TURBT,CD3+;CD8+;PD1-,cd8_t_cell,None,False,1410,856016,0.0016471654735425506
AR,NAC2020,TURBT,CD68+;PD1+,macrophage,PD1,False,1381,856016,0.0016132876021008953
AR,NAC2020,TURBT,CD68+;PD1+;PDL1+,macrophage,PD1_PDL1,False,1319,856016,0.0015408590493635633
AR,NAC2020,RC,CD3+;PD1+;PDL1+,t_cell,PD1_PDL1,False,972,856016,0.0011354927945272052
