prep_root,panel,cohort,sample_type,region_class,label,label_base,excluded_from_primary,n_cells,n_units,mean_cells_per_unit
AR_checkpoint_state,AR,BLASST,RC,Epi,checkpoint_neg,checkpoint_neg,False,214669,167,1285.443113772455
AR_checkpoint_state,AR,BLASST,RC,Epi,PDL1,PDL1,False,19346,167,115.8443113772455
AR_checkpoint_state,AR,BLASST,RC,Epi,PD1,PD1,False,2185,167,13.083832335329342
AR_checkpoint_state,AR,BLASST,RC,Epi,PD1_PDL1,PD1_PDL1,False,358,167,2.143712574850299
AR_checkpoint_state,AR,BLASST,RC,Stroma,checkpoint_neg,checkpoint_neg,False,1236445,200,6182.225
AR_checkpoint_state,AR,BLASST,RC,Stroma,PDL1,PDL1,False,73478,200,367.39
AR_checkpoint_state,AR,BLASST,RC,Stroma,PD1,PD1,False,14965,200,74.825
AR_checkpoint_state,AR,BLASST,RC,Stroma,PD1_PDL1,PD1_PDL1,False,2127,200,10.635
AR_checkpoint_state,AR,BLASST,TURBT,Epi,checkpoint_neg,checkpoint_neg,False,1055805,367,2876.8528610354224
AR_checkpoint_state,AR,BLASST,TURBT,Epi,PDL1,PDL1,False,78467,367,213.80653950953678
AR_checkpoint_state,AR,BLASST,TURBT,Epi,PD1,PD1,False,5959,367,16.237057220708447
AR_checkpoint_state,AR,BLASST,TURBT,Epi,PD1_PDL1,PD1_PDL1,False,983,367,2.678474114441417
AR_checkpoint_state,AR,BLASST,TURBT,Stroma,checkpoint_neg,checkpoint_neg,False,3608861,390,9253.489743589744
AR_checkpoint_state,AR,BLASST,TURBT,Stroma,PDL1,PDL1,False,283959,390,728.1
AR_checkpoint_state,AR,BLASST,TURBT,Stroma,PD1,PD1,False,49583,390,127.13589743589743
AR_checkpoint_state,AR,BLASST,TURBT,Stroma,PD1_PDL1,PD1_PDL1,False,5370,390,13.76923076923077
AR_checkpoint_state,AR,NAC2020,RC,Epi,checkpoint_neg,checkpoint_neg,False,30877,20,1543.85
AR_checkpoint_state,AR,NAC2020,RC,Epi,PDL1,PDL1,False,8263,20,413.15
AR_checkpoint_state,AR,NAC2020,RC,Epi,PD1_PDL1,PD1_PDL1,False,121,20,6.05
AR_checkpoint_state,AR,NAC2020,RC,Epi,PD1,PD1,False,103,20,5.15
AR_checkpoint_state,AR,NAC2020,RC,Stroma,checkpoint_neg,checkpoint_neg,False,45283,20,2264.15
AR_checkpoint_state,AR,NAC2020,RC,Stroma,PDL1,PDL1,False,20408,20,1020.4
AR_checkpoint_state,AR,NAC2020,RC,Stroma,PD1,PD1,False,2582,20,129.1
AR_checkpoint_state,AR,NAC2020,RC,Stroma,PD1_PDL1,PD1_PDL1,False,1790,20,89.5
AR_checkpoint_state,AR,NAC2020,TURBT,Epi,checkpoint_neg,checkpoint_neg,False,244570,108,2264.537037037037
AR_checkpoint_state,AR,NAC2020,TURBT,Epi,PDL1,PDL1,False,74003,108,685.2129629629629
AR_checkpoint_state,AR,NAC2020,TURBT,Epi,PD1_PDL1,PD1_PDL1,False,2501,108,23.15740740740741
AR_checkpoint_state,AR,NAC2020,TURBT,Epi,PD1,PD1,False,2217,108,20.52777777777778
AR_checkpoint_state,AR,NAC2020,TURBT,Stroma,checkpoint_neg,checkpoint_neg,False,291870,109,2677.706422018349
AR_checkpoint_state,AR,NAC2020,TURBT,Stroma,PDL1,PDL1,False,95815,109,879.0366972477065
AR_checkpoint_state,AR,NAC2020,TURBT,Stroma,PD1,PD1,False,18270,109,167.61467889908258
AR_checkpoint_state,AR,NAC2020,TURBT,Stroma,PD1_PDL1,PD1_PDL1,False,10562,109,96.89908256880734
AR_checkpoint_state,AR,No-NAC,RC,Epi,checkpoint_neg,checkpoint_neg,False,111724,64,1745.6875
AR_checkpoint_state,AR,No-NAC,RC,Epi,PDL1,PDL1,False,31788,64,496.6875
AR_checkpoint_state,AR,No-NAC,RC,Epi,PD1,PD1,False,2865,64,44.765625
AR_checkpoint_state,AR,No-NAC,RC,Epi,PD1_PDL1,PD1_PDL1,False,2429,64,37.953125
AR_checkpoint_state,AR,No-NAC,RC,Stroma,checkpoint_neg,checkpoint_neg,False,162036,64,2531.8125
AR_checkpoint_state,AR,No-NAC,RC,Stroma,PD1,PD1,False,19649,64,307.015625
AR_checkpoint_state,AR,No-NAC,RC,Stroma,PDL1,PDL1,False,19221,64,300.328125
AR_checkpoint_state,AR,No-NAC,RC,Stroma,PD1_PDL1,PD1_PDL1,False,4680,64,73.125
AR_checkpoint_state,AR,No-NAC,TURBT,Epi,checkpoint_neg,checkpoint_neg,False,380434,150,2536.2266666666665
AR_checkpoint_state,AR,No-NAC,TURBT,Epi,PDL1,PDL1,False,105606,150,704.04
AR_checkpoint_state,AR,No-NAC,TURBT,Epi,PD1,PD1,False,5640,150,37.6
AR_checkpoint_state,AR,No-NAC,TURBT,Epi,PD1_PDL1,PD1_PDL1,False,3127,150,20.846666666666668
AR_checkpoint_state,AR,No-NAC,TURBT,Stroma,checkpoint_neg,checkpoint_neg,False,335821,150,2238.806666666667
AR_checkpoint_state,AR,No-NAC,TURBT,Stroma,PDL1,PDL1,False,59769,150,398.46
AR_checkpoint_state,AR,No-NAC,TURBT,Stroma,PD1,PD1,False,11364,150,75.76
AR_checkpoint_state,AR,No-NAC,TURBT,Stroma,PD1_PDL1,PD1_PDL1,False,4378,150,29.186666666666667
AR_checkpoint_state,AR,PURE01,RC,Epi,checkpoint_neg,checkpoint_neg,False,7754,13,596.4615384615385
AR_checkpoint_state,AR,PURE01,RC,Epi,PDL1,PDL1,False,190,13,14.615384615384615
AR_checkpoint_state,AR,PURE01,RC,Epi,PD1,PD1,False,13,13,1.0
AR_checkpoint_state,AR,PURE01,RC,Epi,PD1_PDL1,PD1_PDL1,False,1,13,0.07692307692307693
AR_checkpoint_state,AR,PURE01,RC,Stroma,checkpoint_neg,checkpoint_neg,False,50269,14,3590.6428571428573
AR_checkpoint_state,AR,PURE01,RC,Stroma,PDL1,PDL1,False,2723,14,194.5
AR_checkpoint_state,AR,PURE01,RC,Stroma,PD1,PD1,False,955,14,68.21428571428571
AR_checkpoint_state,AR,PURE01,RC,Stroma,PD1_PDL1,PD1_PDL1,False,76,14,5.428571428571429
AR_checkpoint_state,AR,PURE01,TURBT,Epi,checkpoint_neg,checkpoint_neg,False,274702,124,2215.3387096774195
AR_checkpoint_state,AR,PURE01,TURBT,Epi,PDL1,PDL1,False,70640,124,569.6774193548387
AR_checkpoint_state,AR,PURE01,TURBT,Epi,PD1,PD1,False,7867,124,63.443548387096776
AR_checkpoint_state,AR,PURE01,TURBT,Epi,PD1_PDL1,PD1_PDL1,False,2604,124,21.0
AR_checkpoint_state,AR,PURE01,TURBT,Stroma,checkpoint_neg,checkpoint_neg,False,306867,124,2474.733870967742
AR_checkpoint_state,AR,PURE01,TURBT,Stroma,PDL1,PDL1,False,50912,124,410.5806451612903
AR_checkpoint_state,AR,PURE01,TURBT,Stroma,PD1,PD1,False,36866,124,297.30645161290323
AR_checkpoint_state,AR,PURE01,TURBT,Stroma,PD1_PDL1,PD1_PDL1,False,6639,124,53.54032258064516
AR_state,AR,BLASST,RC,Epi,stroma__checkpoint_neg,stroma,False,152491,167,913.1197604790419
AR_state,AR,BLASST,RC,Epi,tumor__checkpoint_neg,tumor,False,46708,167,279.688622754491
AR_state,AR,BLASST,RC,Epi,stroma__PDL1,stroma,False,13968,167,83.64071856287426
AR_state,AR,BLASST,RC,Epi,macrophage__checkpoint_neg,macrophage,False,12795,167,76.61676646706587
AR_state,AR,BLASST,RC,Epi,macrophage__PDL1,macrophage,False,3010,167,18.023952095808383
AR_state,AR,BLASST,RC,Epi,t_cell__checkpoint_neg,t_cell,False,2675,167,16.017964071856287
AR_state,AR,BLASST,RC,Epi,stroma__PD1,stroma,False,2002,167,11.988023952095809
