prep_root,panel,cohort,sample_type,label,label_base,excluded_from_primary,n_cells,total_cells,cell_fraction
AR_checkpoint_state,AR,BLASST,RC,checkpoint_neg,checkpoint_neg,False,1451114,1563573,0.9280756319020602
AR_checkpoint_state,AR,BLASST,RC,PDL1,PDL1,False,92824,1563573,0.059366591774096894
AR_checkpoint_state,AR,BLASST,RC,PD1,PD1,False,17150,1563573,0.01096846773383782
AR_checkpoint_state,AR,BLASST,RC,PD1_PDL1,PD1_PDL1,False,2485,1563573,0.0015893085900050717
AR_checkpoint_state,AR,BLASST,TURBT,checkpoint_neg,checkpoint_neg,False,4664666,5088987,0.9166197516322994
AR_checkpoint_state,AR,BLASST,TURBT,PDL1,PDL1,False,362426,5088987,0.07121770992930421
AR_checkpoint_state,AR,BLASST,TURBT,PD1,PD1,False,55542,5088987,0.010914156393011026
AR_checkpoint_state,AR,BLASST,TURBT,PD1_PDL1,PD1_PDL1,False,6353,5088987,0.0012483820453854568
AR_checkpoint_state,AR,NAC2020,RC,checkpoint_neg,checkpoint_neg,False,76160,109427,0.6959891068931799
AR_checkpoint_state,AR,NAC2020,RC,PDL1,PDL1,False,28671,109427,0.2620102899649995
AR_checkpoint_state,AR,NAC2020,RC,PD1,PD1,False,2685,109427,0.024536905882460453
AR_checkpoint_state,AR,NAC2020,RC,PD1_PDL1,PD1_PDL1,False,1911,109427,0.01746369725936012
AR_checkpoint_state,AR,NAC2020,TURBT,checkpoint_neg,checkpoint_neg,False,536440,739808,0.7251070548034084
AR_checkpoint_state,AR,NAC2020,TURBT,PDL1,PDL1,False,169818,739808,0.22954334097495566
AR_checkpoint_state,AR,NAC2020,TURBT,PD1,PD1,False,20487,739808,0.027692320169557506
AR_checkpoint_state,AR,NAC2020,TURBT,PD1_PDL1,PD1_PDL1,False,13063,739808,0.01765728405207838
AR_checkpoint_state,AR,No-NAC,RC,checkpoint_neg,checkpoint_neg,False,273760,354392,0.7724779340391431
AR_checkpoint_state,AR,No-NAC,RC,PDL1,PDL1,False,51009,354392,0.14393383597823878
AR_checkpoint_state,AR,No-NAC,RC,PD1,PD1,False,22514,354392,0.06352852208853473
AR_checkpoint_state,AR,No-NAC,RC,PD1_PDL1,PD1_PDL1,False,7109,354392,0.020059707894083387
AR_checkpoint_state,AR,No-NAC,TURBT,checkpoint_neg,checkpoint_neg,False,716255,906139,0.7904471609764064
AR_checkpoint_state,AR,No-NAC,TURBT,PDL1,PDL1,False,165375,906139,0.1825051123503127
AR_checkpoint_state,AR,No-NAC,TURBT,PD1,PD1,False,17004,906139,0.01876533291250018
AR_checkpoint_state,AR,No-NAC,TURBT,PD1_PDL1,PD1_PDL1,False,7505,906139,0.00828239376078063
AR_checkpoint_state,AR,PURE01,RC,checkpoint_neg,checkpoint_neg,False,58023,61981,0.9361417208499379
AR_checkpoint_state,AR,PURE01,RC,PDL1,PDL1,False,2913,61981,0.04699827366451009
AR_checkpoint_state,AR,PURE01,RC,PD1,PD1,False,968,61981,0.01561768929187977
AR_checkpoint_state,AR,PURE01,RC,PD1_PDL1,PD1_PDL1,False,77,61981,0.0012423161936722545
AR_checkpoint_state,AR,PURE01,TURBT,checkpoint_neg,checkpoint_neg,False,581569,757097,0.7681565241970315
AR_checkpoint_state,AR,PURE01,TURBT,PDL1,PDL1,False,121552,757097,0.16055010124198088
AR_checkpoint_state,AR,PURE01,TURBT,PD1,PD1,False,44733,757097,0.059084899292957176
AR_checkpoint_state,AR,PURE01,TURBT,PD1_PDL1,PD1_PDL1,False,9243,757097,0.012208475268030384
AR_state,AR,BLASST,RC,stroma__checkpoint_neg,stroma,False,1105083,1563573,0.7067677684380582
AR_state,AR,BLASST,RC,tumor__checkpoint_neg,tumor,False,151440,1563573,0.09685508767419237
AR_state,AR,BLASST,RC,t_cell__checkpoint_neg,t_cell,False,100007,1563573,0.06396055700629263
AR_state,AR,BLASST,RC,macrophage__checkpoint_neg,macrophage,False,94534,1563573,0.06046024074347664
AR_state,AR,BLASST,RC,stroma__PDL1,stroma,False,65486,1563573,0.041882278601638685
AR_state,AR,BLASST,RC,stroma__PD1,stroma,False,13728,1563573,0.00877989067347671
AR_state,AR,BLASST,RC,macrophage__PDL1,macrophage,False,11004,1563573,0.007037727052078797
AR_state,AR,BLASST,RC,t_cell__PDL1,t_cell,False,10909,1563573,0.006976968776002144
AR_state,AR,BLASST,RC,tumor__PDL1,tumor,False,4324,1563573,0.0027654609026889054
AR_state,AR,BLASST,RC,t_cell__PD1,t_cell,False,2542,1563573,0.0016257635556510633
AR_state,AR,BLASST,RC,stroma__PD1_PDL1,stroma,False,1130,1563573,0.000722703704911763
