prep_root,panel,label,label_base,excluded_from_primary,n_cells,n_units_present,median_fraction_when_present,mean_fraction_when_present,max_fraction_when_present,n_units_total,fraction_units_present
AR_checkpoint_state,AR,checkpoint_neg,checkpoint_neg,False,8357987,1071,0.9216300940438872,0.8652982895113697,0.9994100294985251,1071,1.0
AR_checkpoint_state,AR,PDL1,PDL1,False,994588,1069,0.0602314154382628,0.10781263627049785,0.9207750515936711,1071,0.9981325863678805
AR_checkpoint_state,AR,PD1,PD1,False,181083,990,0.007170559216808955,0.02314131069682373,0.7505112474437627,1071,0.9243697478991597
AR_checkpoint_state,AR,PD1_PDL1,PD1_PDL1,False,47746,752,0.0016818772530637907,0.008116923098810356,0.16630400994715575,1071,0.7021475256769374
AR_state,AR,stroma__checkpoint_neg,stroma,False,5643685,1071,0.6246402302526383,0.5508514167568238,0.8961469762694565,1071,1.0
AR_state,AR,tumor__checkpoint_neg,tumor,False,1272375,1071,0.109592607054536,0.1729576640461186,0.7839599757428745,1071,1.0
AR_state,AR,t_cell__checkpoint_neg,t_cell,False,780766,1070,0.06105749748529932,0.07003977757698547,0.34376621130900914,1071,0.9990662931839402
AR_state,AR,macrophage__checkpoint_neg,macrophage,False,656935,1071,0.05989210613233513,0.07092292718095443,0.33100616016427103,1071,1.0
AR_state,AR,stroma__PDL1,stroma,False,582756,1069,0.03268687972320859,0.060932076669396346,0.7169255928045789,1071,0.9981325863678805
AR_state,AR,macrophage__PDL1,macrophage,False,164417,1022,0.007976086527621381,0.01952213522295918,0.2528813559322034,1071,0.954248366013072
AR_state,AR,t_cell__PDL1,t_cell,False,152868,1026,0.007620586330963313,0.016156337788925782,0.347052575677111,1071,0.957983193277311
AR_state,AR,stroma__PD1,stroma,False,93004,930,0.0022658817086527927,0.011868670143627332,0.6728691476590636,1071,0.8683473389355743
AR_state,AR,tumor__PDL1,tumor,False,74444,935,0.0016970725498515061,0.011320565057970135,0.3011799747966548,1071,0.873015873015873
AR_state,AR,t_cell__PD1,t_cell,False,66020,948,0.0032372028421035178,0.009105589165519134,0.17177914110429449,1071,0.8851540616246498
AR_state,AR,cd8_t_cell__PDL1,cd8_t_cell,False,20103,597,0.0016975870013338184,0.005029422303305356,0.06086806155974408,1071,0.5574229691876751
AR_state,AR,t_cell__PD1_PDL1,t_cell,False,18179,634,0.0009243930687865274,0.0034384705684341764,0.050131492439184744,1071,0.5919701213818861
AR_state,AR,macrophage__PD1,macrophage,False,15375,674,0.000629168844779579,0.00333405266645688,0.21006054960409873,1071,0.6293183940242764
AR_state,AR,cd8_t_cell__PD1_PDL1,cd8_t_cell,False,11950,432,0.0013678509433286328,0.003952927287349194,0.0466263169692894,1071,0.40336134453781514
AR_state,AR,stroma__PD1_PDL1,stroma,False,10559,493,0.0005061582588155897,0.002732073627591688,0.07807363576594346,1071,0.4603174603174603
AR_state,AR,macrophage__PD1_PDL1,macrophage,False,7058,443,0.0005913660555884093,0.0019624355381051123,0.06869754429592788,1071,0.41363211951447243
AR_state,AR,cd8_t_cell__PD1,cd8_t_cell,False,6684,399,0.0008363201911589009,0.002488181278641604,0.034753363228699555,1071,0.37254901960784315
AR_state,AR,cd8_t_cell__checkpoint_neg,cd8_t_cell,False,4226,453,0.0007218479307025986,0.0013993940586069877,0.02558420628525383,1071,0.42296918767507
compartment,AR,stroma,stroma,False,6330004,1071,0.6941056043674827,0.6232334573651906,0.8994641490176065,1071,1.0
compartment,AR,immune,immune,False,1904581,1071,0.184408014571949,0.19392584560157403,0.6309873767940515,1071,1.0
compartment,AR,tumor,tumor,False,1346819,1071,0.12070165668940554,0.18284069703323538,0.7842631898120073,1071,1.0
compartment,BT,stroma,stroma,False,4422860,1098,0.6536588120647242,0.6082344357114061,0.9981751824817519,1098,1.0
compartment,BT,tumor,tumor,False,1500610,1051,0.13580916237462726,0.2362377584357955,0.9191919191919192,1098,0.9571948998178507
compartment,BT,immune,immune,False,1302005,1098,0.14140913223615248,0.1656399867694491,0.6691915033755969,1098,1.0
compartment_state,AR,stroma__checkpoint_neg,stroma,False,5643685,1071,0.6246402302526383,0.5508514167568238,0.8961469762694565,1071,1.0
compartment_state,AR,immune__checkpoint_neg,immune,False,1441927,1071,0.1368052417532761,0.14148920870842727,0.4468269064499395,1071,1.0
compartment_state,AR,tumor__checkpoint_neg,tumor,False,1272375,1071,0.109592607054536,0.1729576640461186,0.7839599757428745,1071,1.0
compartment_state,AR,stroma__PDL1,stroma,False,582756,1069,0.03268687972320859,0.060932076669396346,0.7169255928045789,1071,0.9981325863678805
compartment_state,AR,immune__PDL1,immune,False,337388,1059,0.018912212460599556,0.037328224631138274,0.4640201805629315,1071,0.988795518207283
