cohort,branch,specimen_format,sample_type,panel,units_submitted,units_with_cells,units_with_tissue,units_with_review,units_with_clinical,units_analysis_ready,units_analysis_ready_n_pct,n_cells_total,n_epi_cells_total,n_str_cells_total
NAC2020,TMA,TMA cores,TURBT,AR,147,147,147,147,147,147,147/147 (100%),876613,385174,479972
NAC2020,TMA,TMA cores,TURBT,BT,147,147,147,147,147,147,147/147 (100%),857612,328136,512249
NAC2020,TMA,TMA cores,RC,AR,20,20,20,20,20,20,20/20 (100%),115671,40230,73244
NAC2020,TMA,TMA cores,RC,BT,22,22,22,22,22,22,22/22 (100%),139440,32906,94805
PURE01,TMA,TMA cores,TURBT,AR,178,178,178,178,178,178,178/178 (100%),943346,429045,486791
PURE01,TMA,TMA cores,TURBT,BT,169,169,169,169,169,169,169/169 (100%),914659,376670,510019
PURE01,TMA,TMA cores,RC,AR,18,18,18,18,18,18,18/18 (100%),71895,8972,61365
PURE01,TMA,TMA cores,RC,BT,17,17,17,17,17,17,17/17 (100%),76793,6953,56841
No-NAC,TMA,TMA cores,TURBT,AR,179,179,179,179,179,179,179/179 (100%),1054544,550530,457433
No-NAC,TMA,TMA cores,TURBT,BT,179,179,179,179,179,179,179/179 (100%),1006638,481123,466686
No-NAC,TMA,TMA cores,RC,AR,64,64,64,64,64,64,64/64 (100%),363843,151836,208612
No-NAC,TMA,TMA cores,RC,BT,64,64,64,64,64,64,64/64 (100%),343757,145614,193778
No-NAC,TMA,TMA cores,Unknown,AR,2,2,2,2,0,0,0/2 (0%),10820,6046,4552
No-NAC,TMA,TMA cores,Unknown,BT,2,2,2,2,0,0,0/2 (0%),9705,4408,5224
BLASST,BLASST,Whole-section regions,TURBT,AR,390,390,390,0,390,390,390/390 (100%),5190985,1150935,3988420
BLASST,BLASST,Whole-section regions,TURBT,BT,390,390,390,0,390,390,390/390 (100%),3297564,664260,2511008
BLASST,BLASST,Whole-section regions,RC,AR,200,200,200,0,200,200,200/200 (100%),1627765,238910,1337715
BLASST,BLASST,Whole-section regions,RC,BT,210,210,210,0,210,210,210/210 (100%),1255424,133972,1039316
