cohort,sample_type,panel,panel_units_submitted_n,panel_units_analysis_ready_n,patients_submitted_n,segmented_cells_n,n_acceptable,n_borderline,n_unusable,n_missing_qc,panel_units_analysis_ready_pct
BLASST,RC,AR,200,200,20,1627765.0,0,0,0,200,200 (100.0%)
BLASST,RC,BT,210,210,20,1255424.0,0,0,0,210,210 (100.0%)
BLASST,TURBT,AR,390,390,39,5190985.0,0,0,0,390,390 (100.0%)
BLASST,TURBT,BT,390,390,39,3297564.0,0,0,0,390,390 (100.0%)
NAC2020,RC,AR,20,20,11,115671.0,17,3,0,0,20 (100.0%)
NAC2020,RC,BT,22,22,12,139440.0,21,1,0,0,22 (100.0%)
NAC2020,TURBT,AR,147,109,42,876613.0,104,5,38,0,109 (74.1%)
NAC2020,TURBT,BT,147,121,42,857612.0,107,14,26,0,121 (82.3%)
No-NAC,RC,AR,64,64,32,363843.0,62,2,0,0,64 (100.0%)
No-NAC,RC,BT,64,62,32,343757.0,62,0,2,0,62 (96.9%)
No-NAC,TURBT,AR,179,150,61,1054544.0,135,15,29,0,150 (83.8%)
No-NAC,TURBT,BT,179,152,60,1006638.0,142,10,27,0,152 (84.9%)
No-NAC,Unknown,AR,2,0,2,10820.0,2,0,0,0,0 (0.0%)
No-NAC,Unknown,BT,2,0,2,9705.0,2,0,0,0,0 (0.0%)
PURE01,RC,AR,18,14,9,71895.0,14,0,4,0,14 (77.8%)
PURE01,RC,BT,17,14,9,76793.0,14,0,3,0,14 (82.4%)
PURE01,TURBT,AR,178,124,86,943346.0,107,17,54,0,124 (69.7%)
PURE01,TURBT,BT,169,127,84,914659.0,102,25,42,0,127 (75.1%)
