Characteristic,NAC2020,PURE01,No-NAC,BLASST
Specimen format,TMA,TMA,TMA,Whole section
"Patients with mIF cores/sections submitted, n",42,86,65,73
"Patients analysis-ready after QC/source reconciliation, n",41,75,58,73
"Patients lost at mIF QC/source reconciliation, n (%)",1 (2.4%),11 (12.8%),7 (10.8%),0 (0.0%)
"Physical TMA cores/whole-section regions submitted, n",336,382,490,"1,190"
"Physical TMA cores/whole-section regions analysis-ready, n (%)",272 (81.0%),279 (73.0%),428 (87.3%),1190 (100.0%)
"TURBT patients submitted, n",42,86,61,43
"TURBT patients analysis-ready, n",41,75,58,43
"TURBT cores/sections submitted, n",294,347,358,780
"TURBT cores/sections analysis-ready, n",230,251,302,780
"TURBT cores/sections per patient submitted, mean",7.0,4.0,5.9,18.1
"TURBT cores/sections per patient analysis-ready, mean",5.6,3.3,5.2,18.1
"TURBT cores/sections per patient submitted, median (IQR)",8.0 (6.0-8.0),4.0 (4.0-4.0),6.0 (4.0-8.0),20.0 (20.0-20.0)
"TURBT cores/sections per patient analysis-ready, median (IQR)",6.0 (4.0-7.0),4.0 (2.0-4.0),5.5 (4.0-7.0),20.0 (20.0-20.0)
"RC patients submitted, n",12,9,32,30
"RC patients analysis-ready, n",12,9,32,30
"RC cores/sections submitted, n",42,35,128,410
"RC cores/sections analysis-ready, n",42,28,126,410
"RC cores/sections per patient submitted, mean",3.5,3.9,4.0,13.7
"RC cores/sections per patient analysis-ready, mean",3.5,3.1,3.9,13.7
"RC cores/sections per patient submitted, median (IQR)",4.0 (3.5-4.0),4.0 (4.0-4.0),4.0 (4.0-4.0),10.0 (10.0-20.0)
"RC cores/sections per patient analysis-ready, median (IQR)",4.0 (3.5-4.0),3.0 (2.0-4.0),4.0 (4.0-4.0),10.0 (10.0-20.0)
"Matched TURBT-RC patients submitted, n",12,9,32,0
"Matched TURBT-RC patients analysis-ready, n",12,9,32,0
"AR panel units submitted, n",167,196,245,590
"AR panel units analysis-ready, n (%)",129 (77.2%),138 (70.4%),214 (87.3%),590 (100.0%)
"AR segmented cells, n","992,284","1,015,241","1,429,207","6,818,750"
"AR TURBT panel units submitted, n",147,178,179,390
"AR TURBT panel units analysis-ready, n (%)",109 (74.1%),124 (69.7%),150 (83.8%),390 (100.0%)
"AR TURBT patients submitted, n",42,86,61,39
"AR TURBT segmented cells, n","876,613","943,346","1,054,544","5,190,985"
"AR TURBT acceptable cores/sections, n",104,107,135,0
"AR TURBT borderline cores/sections, n",5,17,15,0
"AR TURBT unusable cores/sections, n",38,54,29,0
"AR TURBT missing structural QC, n",0,0,0,390
"AR RC panel units submitted, n",20,18,64,200
"AR RC panel units analysis-ready, n (%)",20 (100.0%),14 (77.8%),64 (100.0%),200 (100.0%)
"AR RC patients submitted, n",11,9,32,20
"AR RC segmented cells, n","115,671","71,895","363,843","1,627,765"
"AR RC acceptable cores/sections, n",17,14,62,0
"AR RC borderline cores/sections, n",3,0,2,0
"AR RC unusable cores/sections, n",0,4,0,0
"AR RC missing structural QC, n",0,0,0,200
"BT panel units submitted, n",169,186,245,600
"BT panel units analysis-ready, n (%)",143 (84.6%),141 (75.8%),214 (87.3%),600 (100.0%)
"BT segmented cells, n","997,052","991,452","1,360,100","4,552,988"
"BT TURBT panel units submitted, n",147,169,179,390
"BT TURBT panel units analysis-ready, n (%)",121 (82.3%),127 (75.1%),152 (84.9%),390 (100.0%)
"BT TURBT patients submitted, n",42,84,60,39
"BT TURBT segmented cells, n","857,612","914,659","1,006,638","3,297,564"
"BT TURBT acceptable cores/sections, n",107,102,142,0
"BT TURBT borderline cores/sections, n",14,25,10,0
"BT TURBT unusable cores/sections, n",26,42,27,0
"BT TURBT missing structural QC, n",0,0,0,390
"BT RC panel units submitted, n",22,17,64,210
"BT RC panel units analysis-ready, n (%)",22 (100.0%),14 (82.4%),62 (96.9%),210 (100.0%)
"BT RC patients submitted, n",12,9,32,20
"BT RC segmented cells, n","139,440","76,793","343,757","1,255,424"
"BT RC acceptable cores/sections, n",21,14,62,0
"BT RC borderline cores/sections, n",1,0,0,0
"BT RC unusable cores/sections, n",0,3,2,0
"BT RC missing structural QC, n",0,0,0,210
"Total segmented cells across AR/BT, n","1,989,336","2,006,693","2,789,307","11,371,738"
"Patient IDs inferred/fallback from coord, n",0,0,4,0
