[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/NAC2015/AR/chunk_0001 | samples=100 | cells=430709
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/NAC2015/AR/chunk_0002 | samples=100 | cells=497730
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/NAC2015/AR/chunk_0003 | samples=45 | cells=233808
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/NAC2015/BT/chunk_0001 | samples=100 | cells=498712
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/NAC2015/BT/chunk_0002 | samples=100 | cells=501005
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/NAC2015/BT/chunk_0003 | samples=48 | cells=290255
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/NAC2020/AR/chunk_0001 | samples=100 | cells=446475
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/NAC2020/AR/chunk_0002 | samples=67 | cells=363385
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/NAC2020/BT/chunk_0001 | samples=100 | cells=533590
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/NAC2020/BT/chunk_0002 | samples=69 | cells=443655
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/No-NAC/AR/chunk_0001 | samples=100 | cells=489106
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/No-NAC/AR/chunk_0002 | samples=100 | cells=476395
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/No-NAC/AR/chunk_0003 | samples=45 | cells=219629
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/No-NAC/BT/chunk_0001 | samples=100 | cells=539542
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/No-NAC/BT/chunk_0002 | samples=100 | cells=555924
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/No-NAC/BT/chunk_0003 | samples=45 | cells=241459
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/PURE01/AR/chunk_0001 | samples=100 | cells=429664
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/PURE01/AR/chunk_0002 | samples=96 | cells=422338
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/PURE01/BT/chunk_0001 | samples=100 | cells=522033
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/tma/PURE01/BT/chunk_0002 | samples=86 | cells=460409
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/AR/chunk_0001 | samples=100 | cells=1052014
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/AR/chunk_0002 | samples=100 | cells=944631
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/AR/chunk_0003 | samples=100 | cells=1270195
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/AR/chunk_0004 | samples=100 | cells=1261565
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/AR/chunk_0005 | samples=100 | cells=930317
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/AR/chunk_0006 | samples=90 | cells=843760
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/BT/chunk_0001 | samples=100 | cells=792636
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/BT/chunk_0002 | samples=100 | cells=535124
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/BT/chunk_0003 | samples=100 | cells=849816
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/BT/chunk_0004 | samples=100 | cells=822438
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/BT/chunk_0005 | samples=100 | cells=718045
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/wholesection/BLASST/BT/chunk_0006 | samples=100 | cells=721382

Done.
Chunk summary: /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_phenotype_only/chunk_summary.tsv
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/tma/NAC2015/AR/chunk_0001 | samples=100 | cells=430709
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/tma/NAC2015/AR/chunk_0002 | samples=100 | cells=497730
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/tma/NAC2015/AR/chunk_0003 | samples=45 | cells=233808
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/tma/NAC2020/AR/chunk_0001 | samples=100 | cells=446475
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/tma/NAC2020/AR/chunk_0002 | samples=67 | cells=363385
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/tma/No-NAC/AR/chunk_0001 | samples=100 | cells=489106
[WROTE] /projects/ovcare/users/nikolay_alabi/immuno/weibull/run_reviewed_AR_state/tma/No-NAC/AR/chunk_0002 | samples=100 | cells=476395
