context_id,cohort,panel,endpoint,sample_type,patient_subset,agg,include_context,context_strength,min_oof_metric,min_delta_clinical,max_fold_sd,min_direction_consistency,min_nonmissing_fraction,min_candidate_evidence_score,min_valid_folds,max_nominal_p,max_context_q,manual_notes,candidate_limit_policy,cross_root_rescue
NAC2020__AR__complete_response__TURBT__all__median,NAC2020,AR,complete_response,TURBT,all,median,1,strong,0.75,,0.02,0.8,0.5,,4,,,,root_specific_after_stage2a_review,False
NAC2020__AR__any_response__TURBT__all__median,NAC2020,AR,any_response,TURBT,all,median,1,strong,0.75,,0.02,0.8,0.5,,4,,,,root_specific_after_stage2a_review,False
NAC2020__AR__OS__TURBT__all__median,NAC2020,AR,OS,TURBT,all,median,1,strong,0.65,,0.02,,0.5,,4,,,,root_specific_after_stage2a_review,False
NAC2020__AR__RFS__TURBT__all__median,NAC2020,AR,RFS,TURBT,all,median,1,strong,0.7,,0.02,,0.5,,4,,,,root_specific_after_stage2a_review,False
NAC2020__BT__complete_response__TURBT__all__median,NAC2020,BT,complete_response,TURBT,all,median,1,strong,0.7,,0.02,0.6,0.5,,4,,,,root_specific_after_stage2a_review,False
NAC2020__BT__any_response__TURBT__all__median,NAC2020,BT,any_response,TURBT,all,median,1,strong,0.6,,0.02,0.6,0.5,,4,,,,root_specific_after_stage2a_review,False
NAC2020__BT__OS__TURBT__all__median,NAC2020,BT,OS,TURBT,all,median,1,strong,0.65,,0.02,,0.5,,4,,,,root_specific_after_stage2a_review,False
NAC2020__BT__RFS__TURBT__all__median,NAC2020,BT,RFS,TURBT,all,median,1,strong,0.65,,0.02,,0.5,,4,,,,root_specific_after_stage2a_review,False
PURE01__AR__complete_response__TURBT__all__median,PURE01,AR,complete_response,TURBT,all,median,1,moderate,0.6,,0.05,,0.5,,4,,,,root_specific_after_stage2a_review,False
PURE01__AR__any_response__TURBT__all__median,PURE01,AR,any_response,TURBT,all,median,1,moderate,0.6,,0.02,,0.5,,4,,,,root_specific_after_stage2a_review,False
PURE01__AR__OS__TURBT__all__median,PURE01,AR,OS,TURBT,all,median,1,moderate,0.65,,0.05,,0.5,,4,,,,root_specific_after_stage2a_review,False
PURE01__AR__RFS__TURBT__all__median,PURE01,AR,RFS,TURBT,all,median,1,moderate,0.7,,0.03,,0.5,,4,,,,root_specific_after_stage2a_review,False
PURE01__BT__complete_response__TURBT__all__median,PURE01,BT,complete_response,TURBT,all,median,1,weak,0.6,,0.05,,0.5,,4,,,,root_specific_after_stage2a_review,False
PURE01__BT__any_response__TURBT__all__median,PURE01,BT,any_response,TURBT,all,median,1,weak,0.55,,0.03,,0.5,,4,,,,root_specific_after_stage2a_review,False
PURE01__BT__OS__TURBT__all__median,PURE01,BT,OS,TURBT,all,median,1,moderate,0.6,,0.05,,0.5,,4,,,,root_specific_after_stage2a_review,False
PURE01__BT__RFS__TURBT__all__median,PURE01,BT,RFS,TURBT,all,median,1,moderate,0.6,,0.05,,0.5,,4,,,,root_specific_after_stage2a_review,False
BLASST__AR__complete_response__TURBT__all__median,BLASST,AR,complete_response,TURBT,all,median,1,strong,0.65,,0.05,0.7,0.5,,4,,,,root_specific_after_stage2a_review,False
BLASST__AR__any_response__TURBT__all__median,BLASST,AR,any_response,TURBT,all,median,1,strong,0.7,,0.04,0.7,0.5,,4,,,,root_specific_after_stage2a_review,False
BLASST__AR__OS__TURBT__all__median,BLASST,AR,OS,TURBT,all,median,0,weak,0.56,,0.0,,0.5,,4,,,,root_specific_after_stage2a_review,False
BLASST__AR__RFS__TURBT__all__median,BLASST,AR,RFS,TURBT,all,median,0,weak,0.56,,0.15,0.7,0.5,,4,,,,root_specific_after_stage2a_review,False
BLASST__BT__complete_response__TURBT__all__median,BLASST,BT,complete_response,TURBT,all,median,1,moderate,0.6,,0.05,,0.5,,4,,,,root_specific_after_stage2a_review,False
BLASST__BT__any_response__TURBT__all__median,BLASST,BT,any_response,TURBT,all,median,1,strong,0.65,,0.03,0.7,0.5,,4,,,,root_specific_after_stage2a_review,False
BLASST__BT__OS__TURBT__all__median,BLASST,BT,OS,TURBT,all,median,0,weak,0.56,,0.15,0.7,0.5,,4,,,,root_specific_after_stage2a_review,False
BLASST__BT__RFS__TURBT__all__median,BLASST,BT,RFS,TURBT,all,median,0,weak,0.56,,0.15,0.7,0.5,,4,,,,root_specific_after_stage2a_review,False
No-NAC__AR__OS__TURBT__all__median,No-NAC,AR,OS,TURBT,all,median,1,weak,0.6,,0.03,,0.5,,4,,,,root_specific_after_stage2a_review,False
No-NAC__AR__RFS__TURBT__all__median,No-NAC,AR,RFS,TURBT,all,median,1,weak,0.6,,0.03,,0.5,,4,,,,root_specific_after_stage2a_review,False
No-NAC__BT__OS__TURBT__all__median,No-NAC,BT,OS,TURBT,all,median,1,weak,0.55,,0.03,,0.5,,4,,,,root_specific_after_stage2a_review,False
No-NAC__BT__RFS__TURBT__all__median,No-NAC,BT,RFS,TURBT,all,median,1,weak,0.6,,0.02,,0.5,,4,,,,root_specific_after_stage2a_review,False
